title,author,cover,pages,publisher,publish_year,rating,rating_count,rating_5,rating_4,rating_3,rating_2,rating_1,rated_high
Chopsticks,"Amy Krouse Rosenthal, Scott Magoon (Author) (Illustrator)",Hardcover,40,Hyperion,2012,4.17,3545,1595,1167,614,133,36,1
Can You Make a Scary Face?,Jan Thomas,Hardcover,40,Beach Lane,2009,4.08,3545,1591,1051,606,190,107,1
Alphabet City,Stephen T. Johnson (Illustrations),Hardcover,32,Viking,1995,4.07,3545,1458,1150,711,169,57,1
Beautiful Oops!,Barney Saltzberg (Author),Hardcover,28,Workman Publishing Company,2010,4.55,3537,2372,846,243,49,27,1
The Reluctant Dragon,"Kenneth Grahame, Ernest H. Shepard (Illustrator)",Hardcover,58,Holiday House,1938,3.96,3536,1176,1296,850,165,49,0
Charlotte Sometimes,"Penelope Farmer, Chris Connor (Illustrator)",Hardcover,190,New York Review Children,2007,4.08,3533,1442,1210,676,138,67,1
I Am Enough,"Grace Byers, Keturah A. Bobo (Illustrator)",Hardcover,32,Balzer,2018,4.25,3530,1772,1067,542,101,48,1
Little Blue Truck Leads the Way,"Alice Schertle, Jill McElmurry (Illustrator)",Hardcover,40,HMH Books for Young Readers,2009,4.23,3514,1701,1090,590,108,25,1
This Book Just Ate My Dog!,Richard Byrne,Hardcover,32,Henry Holt and Co,2014,4.2,3512,1542,1271,581,95,23,1
Stephanie's Ponytail,"Robert Munsch, Michael Martchenko (Illustrator)",Paperback,24,Annick,1996,4.27,3512,1783,1049,551,94,35,1
I Wish You More,"Amy Krouse Rosenthal, Tom Lichtenheld (Author) (Illustrator)",Hardcover,34,Chronicle,2015,4.38,3508,2005,971,412,95,25,1
Magic for Marigold,L.M. Montgomery,Paperback,274,Starfire,1989,3.7600000000000002,3491,882,1186,1167,230,26,0
"Cardcaptor Sakura, Book 1","CLAMP (Author & Illustrator), Mika Onishhi (Translator), Anita Sengupta (Translator)",Paperback,NA,Dark Horse Manga,2010,4.45,3490,2134,915,362,52,27,1
The 39-Storey Treehouse,"Andy Griffiths, Terry Denton (Illustrator)",Paperback,352,Pan MacMillan Australia,2013,4.29,3488,1871,972,486,115,44,1
Morris Goes to School,Bernard Wiseman,Paperback,64,HarperCollins,1983,4.21,3485,1802,838,659,140,46,1
Trombone Shorty,"Troy Andrews, Bryan Collier (Illustrations)",Hardcover,40,Harry N Abrams,2015,4.26,3483,1657,1258,421,95,52,1
Where's Waldo Now?,Martin Handford,Paperback,32,Candlewick,2007,4.22,3479,1808,871,618,126,56,1
Malala's Magic Pencil,"Malala Yousafzai, Kerascoët (Illustrator)",Ebook,32,Little Brown Books for Young Readers,2017,4.54,3477,2260,937,213,35,32,1
The Jolly Christmas Postman,"Janet Ahlberg (Illustrator), Allan Ahlberg",Hardcover,64,Little Brown,2001,4.48,3474,2247,788,346,60,33,1
Gossie,Olivier Dunrea,Hardcover,32,HMH Books for Young Readers,2002,4.18,3469,1616,1082,603,127,41,1
The Bear Ate Your Sandwich,Julia Sarcone-Roach,Hardcover,32,Alfred A Knopf,2015,4.12,3468,1328,1388,632,94,26,1
The Funny Little Woman,"Arlene Mosel, Blair Lent (Illustrator)",Paperback,40,Puffin,1993,3.95,3466,1307,1018,847,238,56,0
Chloe and the Lion,"Mac Barnett, Adam Rex (Author) (Illustrator)",Hardcover,48,Little Brown Books for Young Readers,2012,4.03,3462,1455,1059,634,220,94,1
Sleep Like a Tiger,"Mary Logue, Pamela Zagarenski (Illustrations)",Hardcover,40,HMH Books for Young Readers,2012,4.08,3461,1341,1277,668,126,49,1
I Dissent: Ruth Bader Ginsburg Makes Her Mark,"Debbie Levy (Author), Elizabeth Baddeley (Illustrator)",Hardcover,40,Simon Schuster Books for Young Readers,2016,4.61,3460,2398,845,162,39,16,1
The Tale of Mrs. Tittlemouse,Beatrix Potter,Hardcover,58,Warne,2002,3.96,3453,1236,1059,970,161,27,0
On the Day You Were Born,Debra Frasier (Author),Hardcover,40,HMH Books for Young Readers,1991,4.17,3453,1786,829,571,178,89,1
To Dance: A Ballerina's Graphic Novel,"Siena Cherson Siegel (Author), Mark Siegel (Author) (Illustrator)",Hardcover,64,Atheneum,2006,3.86,3453,1186,1062,859,225,121,0
Outside Over There,Maurice Sendak,Paperback,40,HarperCollins,1989,3.9,3447,1404,913,684,285,161,0
Robert the Rose Horse,"Joan Heilbroner, P.D. Eastman",Hardcover,72,Random House Books for Young Readers,1962,4.24,3447,1824,842,603,135,43,1
Me and My Little Brain,"John D. Fitzgerald, Mercer Mayer (Illustrator )",Paperback,137,Yearling,1972,4.21,3446,1484,1313,571,48,30,1
All the Answers,Kate Messner (Author),Hardcover,256,Bloomsbury USA Childrens,2015,4.08,3441,1312,1323,633,129,44,1
Our Hero,"Jennifer L. Holm (Author), Matthew Holm",Paperback,96,Random House Children,2005,4.03,3438,1584,844,670,214,126,1
It's Okay to Be Different,Todd Parr,Hardcover,32,Little Brown Books for Young Readers,2004,4.37,3434,1985,923,384,97,45,1
Funnybones,"Allan Ahlberg, Janet Ahlberg",Paperback,32,Puffin,1999,4.24,3431,1751,935,598,112,35,1
Mister Seahorse,Eric Carle,Hardcover,34,Puffin,2006,4.05,3429,1371,1114,723,189,32,1
Animals Should Definitely Not Wear Clothing,"Judi Barrett, Ron Barrett (Illustrator)",Paperback,32,Atheneum Books for Young Readers,1988,4.11,3427,1419,1151,698,130,29,1
Shh! We Have a Plan,Chris Haughton (Author),Hardcover,48,Walker,2014,4.13,3426,1370,1296,610,122,28,1
Donner Dinner Party,Nathan Hale (Author),Hardcover,128,Amulet,2013,4.1499999999999995,3420,1497,1200,524,126,73,1
The Sand Warrior,"Mark Siegel (Author), Alexis Siegel, Xanthe Bouma (Illustrator), Matt Rockefeller (Illustrator), Boya Sun (Illustrator)",Hardcover,248,Random House Books for Young Readers,2017,4.07,3415,1379,1172,657,140,67,1
Frankie Pickle and the Closet of Doom,Eric Wight (Author),Hardcover,96,Simon Schuster Books for Young Readers,2009,3.9699999999999998,3412,1568,799,608,253,184,0
Hades: Lord of the Dead,George O'Connor,Paperback,77,First Second,2012,4.17,3410,1617,996,605,135,57,1
Enchantress from the Stars,"Sylvia Engdahl (Author), Lois Lowry (Author) (Foreword), Leo Dillon (Illustrator), Diane Dillon (Illustrator)",Hardcover,288,Walker Childrens,2001,3.9499999999999997,3406,1178,1231,733,186,78,0
Gregory the Terrible Eater,"Mitchell Sharmat, José Aruego (Illustrator), Ariane Dewey (Illustrator)",Paperback,32,Scholastic Paperbacks,1989,4.13,3404,1495,1040,696,147,26,1
Thomas' Snowsuit,"Robert Munsch, Michael Martchenko (Illustrator)",Paperback,24,Annick,1985,4.09,3400,1422,1108,671,135,64,1
"Busy, Busy Town",Richard Scarry,Hardcover,48,Golden,2000,4.24,3397,1744,919,580,114,40,1
Corduroy Lost and Found,"B.G. Hennessy (Author), Jody Wheeler (Illustrator), Don Freeman (Based on Characters by)",Hardcover,32,Viking Books for Young Readers,2006,4.35,3396,1914,863,527,72,20,1
"Toes, Ears, & Nose! (A Lift-the-Flap Book)","Marion Dane Bauer (Author), Karen Katz",Board Book,16,Little Simon,2003,4.1,3389,1514,952,721,140,62,1
Treasures of the Snow,Patricia St. John,Paperback,208,Scripture Union Publishing,2015,4.18,3389,1552,1095,576,119,47,1
The Life and Times of Scrooge McDuck,Don Rosa,Paperback,266,Gemstone Publishing,2005,4.67,3389,2545,629,172,28,15,1
"Baby Monkey, Private Eye","Brian Selznick, David Serlin",Hardcover,192,Scholastic,2018,3.93,3384,1276,1101,640,215,152,0
A Splash of Red: The Life and Art of Horace Pippin,"Jen Bryant, Melissa Sweet (Illustrations)",Hardcover,40,Knopf Books for Young Readers,2013,4.09,3384,1376,1244,543,127,94,1
"Uncle Fedya, His Dog, and His Cat","Eduard Uspensky, Michael Henry Heim (Translator), Vladimir Shpitalnik (Illustrator)",Hardcover,136,Alfred A Knopf,1993,4.37,3383,1992,841,393,115,42,1
Here Lies the Librarian,Richard Peck,Hardcover,160,Dial,2006,3.73,3380,738,1323,1040,221,58,0
The Hallo-Weiner,Dav Pilkey,Paperback,32,Scholastic Paperbacks,1999,4.19,3378,1654,956,584,134,50,1
I am Going!,Mo Willems,Hardcover,64,Hyperion Books for Children,2010,4.31,3373,1710,1099,487,63,14,1
The Hounds of the Morrigan,Pat O'Shea,Paperback,NA,HarperCollins,1999,4.04,3373,1386,1095,610,199,83,1
The Annotated Brothers Grimm,"Jacob Grimm, Wilhelm Grimm, Maria Tatar (Editor), A.S. Byatt (Introduction), George Cruikshank (Illustrator), Paul Hey (Illustrator), Walter Crane (Illustrator), Warwick Goble (Illustrator) , more…Kay Nielsen (Illustrator), Arthur Rackham (Illustrator) …less",Hardcover,462,W W Norton Company,2004,4.46,3370,2019,966,328,31,26,1
The Case of the Peculiar Pink Fan,Nancy Springer (Author),Hardcover,183,Philomel Penguin Young Readers,2008,4.119999999999999,3370,1241,1426,605,69,29,1
Red Sails to Capri,Ann Weil,Paperback,160,Puffin,1988,3.9699999999999998,3368,1288,1066,724,194,96,0
Orange Pear Apple Bear,Emily Gravett,Hardcover,32,Simon,2007,3.98,3367,1215,1144,787,178,43,0
Olivia and the Fairy Princesses,Ian Falconer,Hardcover,40,Atheneum Books for Young Readers,2012,4.22,3366,1622,1066,517,107,54,1
Zoom,Istvan Banyai,Paperback,64,Puffin,1998,4.3,3366,1773,968,509,82,34,1
Athena: Grey-Eyed Goddess,George O'Connor,Paperback,77,First Second,2010,4.14,3366,1459,1120,625,119,43,1
Battle Bunny,"Jon Scieszka, Mac Barnett, Matthew Myers (Illustrator), Matt Myers (Author) (Illustrator )",Hardcover,32,Simon Schuster Books for Young Readers,2013,4.11,3365,1550,1000,538,182,95,1
"Does a Kangaroo Have a Mother, Too?",Eric Carle,Hardcover,32,HarperCollins,2000,3.94,3364,1268,964,858,219,55,0
Oh My Oh My Oh Dinosaurs!,Sandra Boynton,Board Book,24,Workman Publishing Company,1993,4.13,3349,1458,1063,683,111,34,1
A Different Pond,"Bao Phi (Illustrations), Thi Bui (Illustrations)",Hardcover,32,Picture Window,2017,4.27,3335,1523,1277,456,63,16,1
The Paperboy,Dav Pilkey,Paperback,32,Scholastic,1999,4.01,3334,1243,1133,762,151,45,1
I Need My Monster,"Amanda Noll, Howard McWilliam (Illustrator)",Hardcover,32,Flashlight,2009,4.3,3326,1720,1038,440,94,34,1
The Book of Mistakes,Corinna Luyken (Author),Hardcover,56,Dial,2017,4.22,3321,1581,1119,442,124,55,1
"Oh, No!","Candace Fleming (Author), Eric Rohmann (Illustrations)",Hardcover,40,Schwartz,2012,3.97,3309,1198,1116,751,181,63,0
The Story of the Little Mole Who Went in Search of Whodunit,"Werner Holzwarth, Wolf Erlbruch",Hardcover,24,Harry N Abrams,2007,4.1899999999999995,3307,1629,965,501,129,83,1
The Summer Before,Ann M. Martin,Hardcover,215,Scholastic,2010,3.74,3306,1035,919,951,270,131,0
The Digging-est Dog,"Al Perkins, Eric Gurney (Illustrator)",Hardcover,72,Random House Books for Young Readers,1967,4.22,3304,1712,833,584,128,47,1
Dinosaur Roar!,"Paul Stickland (Author), Henrietta Stickland",Hardcover,32,Turtleback,2002,4.1,3303,1445,997,663,157,41,1
Little Owl Lost,Chris Haughton (Author),Hardcover,32,Candlewick,2010,4.18,3298,1448,1146,574,99,31,1
The Arkadians,Lloyd Alexander,Paperback,272,Puffin,1998,3.8899999999999997,3298,1009,1201,856,175,57,0
How Mirka Met a Meteorite,Barry Deutsch (Author),Hardcover,128,Harry N Abrams,2012,3.8699999999999997,3293,1215,963,745,197,173,0
Das fliegende Klassenzimmer,"Erich Kästner, Walter Trier (Illustrator)",Hardcover,176,Dressler Verlag,2006,4.1899999999999995,3292,1526,1055,545,130,36,1
Miss Spider's Tea Party,David Kirk,Paperback,32,Scholastic,2007,4.02,3290,1342,976,742,167,63,1
Pete's a Pizza,William Steig,Hardcover,32,HarperCollins,1998,4.04,3285,1316,1043,704,171,51,1
Memoirs of a Goldfish,"Devin Scillian, Tim Bowers (Author) (Illustrator)",Hardcover,32,Sleeping Bear,2010,4.36,3281,1785,1020,365,78,33,1
Brave Girl: Clara and the Shirtwaist Makers' Strike of 1909,"Michelle Markel (Author), Melissa Sweet (Illustrations)",Hardcover,32,Balzer,2013,4.2,3267,1504,1117,492,112,42,1
Foiled,"Jane Yolen (Author), Mike Cavallaro (Illustrator)",Paperback,160,First Second,2010,3.54,3262,711,947,1093,406,105,0
Meet Kaya,Janet Beeler Shaw,Paperback,70,Pleasant Company,2002,3.9299999999999997,3261,1216,924,865,198,58,0
Leave Me Alone!,Vera Brosgol (Author),Hardcover,40,Roaring Brook,2016,4.21,3260,1385,1312,458,85,20,1
Tom Gates: Extra Special Treats ( . . . not),Liz Pichon,Kindle Edition,240,Scholastic Fiction,2013,4.53,3255,2298,581,243,70,63,1
"It's a Busy, Busy World",Richard Scarry,Hardcover,92,Golden,1965,4.26,3249,1718,850,533,90,58,1
The Word Collector,Peter H. Reynolds,Hardcover,40,Orchard,2018,4.33,3247,1796,946,352,85,68,1
The Three Ninja Pigs,"Corey Rosen Schwartz (Author), Dan Santat (Author) (Illustrator)",Hardcover,32,GP Putnam,2012,4.23,3247,1478,1173,477,92,27,1
Tap the Magic Tree,Christie Matheson,Hardcover,40,Greenwillow,2013,4.26,3245,1539,1157,437,79,33,1
Bird & Squirrel on the Run,James Burks (Author),Paperback,126,Graphix,2012,4.14,3245,1647,812,491,175,120,1
The Great Fuzz Frenzy,"Janet Stevens, Susan Stevens Crummel",NA,46,Spoken Arts,2006,4.16,3235,1526,927,599,125,58,1
Opposites,Sandra Boynton,Board Book,16,Little Simon,1982,3.96,3230,1144,1024,878,157,27,0
Prayers for Children,Eloise Wilkin (Illustrations),Board Book,26,Golden Inspirational,2007,4.4,3227,2072,600,405,87,63,1
Escape to Witch Mountain,"Alexander Key, Leon B. Wisdom Jr. (Illustrator)",Paperback,NA,Pocket,1975,3.9,3221,1114,974,889,190,54,0
Froggy Goes to School,"Jonathan London, Frank Remkiewicz (illustrator)",Paperback,32,Puffin,1998,4.18,3220,1620,792,625,139,44,1
Crown: An Ode to the Fresh Cut,"Derrick Barnes, Gordon C. James (Illustrator)",Hardcover,32,Agate Bolden,2017,4.37,3219,1780,996,343,63,37,1
Jim Knopf und die Wilde 13,Michael Ende,Hardcover,276,Thienemann Verlag,1990,4.319999999999999,3218,1686,1027,395,80,30,1
14 Cows for America,"Carmen Agra Deedy, Wilson Kimeli Naiyomah, Thomas Gonzalez (Illustrator)",Hardcover,36,Peachtree Publishing Company,2009,4.31,3215,1766,908,387,95,59,1
Up and Down,Oliver Jeffers (Author),Paperback,40,HarperCollinsChildren,2015,4.17,3213,1308,1251,556,74,24,1
Ellie's Story,W. Bruce Cameron (Author),Hardcover,208,Starscape,2015,4.38,3208,1775,981,379,54,19,1
Little Cloud,Eric Carle,Paperback,32,Puffin,2001,3.96,3208,1162,993,839,181,33,0
Tom Gates is Absolutely Fantastic [at Some Things],Liz Pichon,Paperback,272,Scholastic,2013,4.48,3199,2156,622,276,81,64,1
Rules of Summer,Shaun Tan,Hardcover,48,Holder Children,2014,4.09,3196,1355,1095,506,160,80,1
Her Right Foot,"Dave Eggers, Shawn Harris (Illustrator)",Hardcover,104,Chronicle,2017,4.29,3192,1692,965,366,103,66,1
"Meg, Jo, Beth, and Amy: A Graphic Novel: A Modern Retelling of Little Women","Rey Terciero, Bre Indigo (Author) (Illustrations), Louisa May Alcott",Hardcover,256,Little Brown Books for Young Readers,2019,4.04,3191,1294,1039,618,178,62,1
"The Pigeon Has Feelings, Too!",Mo Willems,Hardcover,12,Hyperion Books for Children,2005,4.14,3189,1416,1021,573,147,32,1
A Visit to William Blake's Inn: Poems for Innocent and Experienced Travelers,"Nancy Willard, Alice Provensen (Illustrations), Martin Provensen (Illustrations)",Hardcover,82,HMH Books for Young Readers,1981,3.65,3188,954,854,843,372,165,0
Wherever You Are My Love Will Find You,Nancy Tillman (Author),Hardcover,32,Feiwel,2010,4.58,3187,2246,633,240,52,16,1
Little Hoot,"Amy Krouse Rosenthal, Jen Corace (Author) (Illustrator)",Hardcover,36,Chronicle,2007,4.09,3186,1313,1093,605,119,56,1
"Ten, Nine, Eight",Molly Bang,Board Book,16,Greenwillow,1996,3.87,3186,1028,998,911,207,42,0
Around the World,Matt Phelan,Hardcover,240,Candlewick,2011,3.86,3185,1094,1018,739,208,126,0
Swirl by Swirl: Spirals in Nature,"Joyce Sidman, Beth Krommes (Illustrator)",Hardcover,40,Houghton Mifflin Harcourt,2011,4.08,3184,1311,1085,582,148,58,1
"Owly, Vol. 2: Just a Little Blue",Andy Runton (Author),Paperback,125,Top Shelf Productions,2005,4.17,3184,1611,829,507,141,96,1
Skippyjon Jones Lost in Spice,Judy Schachner,Hardcover,32,Dutton Books for Young Readers,2009,4.2,3181,1619,849,520,122,71,1
Middle School Is Worse Than Meatloaf: A Year Told Through Stuff,"Jennifer L. Holm (Author), Elicia Castaldi (Illustrator)",Hardcover,128,Atheneum Books for Young Readers,2007,3.79,3180,1061,930,772,289,128,0
Fairy Haven and the Quest for the Wand,"Gail Carson Levine (Author), David Christiana (Illustrator)",Hardcover,191,Disney,2007,3.8699999999999997,3172,1095,929,849,238,61,0
Sidewalk Flowers,"JonArno Lawson, Sydney Smith (Illustrator)",Hardcover,32,Groundwood,2015,4.27,3171,1538,1083,450,81,19,1
The Wonderful Things You Will Be,Emily Winfield Martin,Hardcover,36,Random House Books for Young Readers,2015,4.39,3169,1815,875,399,65,15,1
The Amazing Bone,William Steig,Paperback,NA,Square Fish,1993,3.94,3168,1237,893,743,207,88,0
Once Upon an Alphabet: Short Stories for all the Letters,Oliver Jeffers (Author),Hardcover,112,Philomel,2014,4.28,3167,1607,1021,391,107,41,1
The Twelve Days of Christmas,Jan Brett,Hardcover,32,G B Putnam,1986,4.14,3166,1409,967,636,126,28,1
Walter the Farting Dog,"William Kotzwinkle (Author), Glenn Murray, Audrey Colman (Illustrator)",Hardcover,32,Frog Children,2001,3.9,3146,1237,880,653,241,135,0
The Smartest Giant in Town,"Julia Donaldson, Axel Scheffler (Illustrator)",Paperback,32,MacMillan Children,2003,4.18,3144,1411,1053,541,111,28,1
"Cartoon History of the Universe I, Vol. 1-7: From the Big Bang to Alexander the Great",Larry Gonick,Paperback,368,Three Rivers,1997,4.26,3138,1566,1006,415,104,47,1
School's First Day of School,"Adam Rex (Author), Christian Robinson (Illustrator)",Hardcover,40,Roaring Brook,2016,4.19,3136,1348,1187,476,94,31,1
Harriet the Invincible,Ursula Vernon,Hardcover,250,Dial,2015,4.109999999999999,3131,1342,1071,510,128,80,1
"Bad News for Outlaws: The Remarkable Life of Bass Reeves, Deputy U. S. Marshal","Vaunda Micheaux Nelson, R. Gregory Christie (Illustrator)",Hardcover,40,Carolrhoda,2009,4.03,3128,1304,1004,550,165,105,1
The Quiltmaker's Gift,"Jeff Brumbeau, Gail de Marcken (Illustrator)",Hardcover,56,Scholastic,2001,4.49,3127,2011,749,287,54,26,1
Ottoline and the Yellow Cat,"Chris Riddell, Φίλιππος Μανδηλαράς (Translator)",Hardcover,176,MacMillan Children,2007,4.08,3125,1255,1101,598,119,52,1
The Seven Silly Eaters,"Mary Ann Hoberman, Marla Frazee (Illustrator)",Paperback,38,Voyager,2000,4.41,3125,1899,773,332,86,35,1
Islandborn,"Junot Díaz, Leo Espinosa (Illustrator)",Hardcover,48,Dial,2018,4.46,3124,1803,1015,264,31,11,1
Hug Machine,Scott Campbell,Hardcover,40,Atheneum Books for Young Readers,2014,4.14,3117,1315,1105,553,116,28,1
Cinder Edna,"Ellen Jackson, Kevin O'Malley (Illustrator)",Paperback,32,HarperCollins,1998,4.16,3117,1465,935,525,142,50,1
Wild Swans,"Hans Christian Andersen, Naomi Lewis (Adaptation), Anne Yvonne Gilbert (Illustrator)",Hardcover,48,Barefoot,2005,4.25,3116,1556,931,509,89,31,1
Warriors: Ravenpaw's Path #2: A Clan in Need,"Erin Hunter, James L. Barry (Illustrator)",Kindle Edition,112,HarperCollins,2015,4.24,3114,1677,716,562,123,36,1
Radiant Child: The Story of Young Artist Jean-Michel Basquiat,Javaka Steptoe,Hardcover,40,Little Brown Books for Young Readers,2016,4.17,3111,1291,1191,515,81,33,1
What Was I Scared Of?,Dr. Seuss,Hardcover,32,Random House Books for Young Readers,1997,4.2,3110,1481,928,567,110,24,1
Old Bear,Kevin Henkes,Hardcover,32,Greenwillow,2008,4.01,3106,1061,1168,743,110,24,1
Hilda and the Black Hound,Luke Pearson,Hardcover,64,Flying Eye,2014,4.4,3106,1760,976,265,63,42,1
The Case of the Cryptic Crinoline,Nancy Springer (Author),Hardcover,160,Philomel,2009,4.09,3106,1083,1345,580,69,29,1
Spiderweb for Two: A Melendy Maze,Elizabeth Enright,Hardcover,224,Henry Holt and Co,2002,3.96,3106,1341,884,498,181,202,0
Father Bear Comes Home,"Else Holmelund Minarik, Maurice Sendak (Illustrator)",Hardcover,64,HarperCollins,1987,4.3,3105,1662,829,513,72,29,1
The 52-Storey Treehouse,"Andy Griffiths, Terry Denton (Illustrator)",Kindle Edition,NA,Macmillan Australia,2014,4.31,3104,1711,865,368,103,57,1
The Secret Science Alliance and the Copycat Crook,Eleanor Davis,Paperback,160,Bloomsbury USA Childrens,2009,4.109999999999999,3099,1499,833,489,179,99,1
Linnea in Monet's Garden,"Christina Björk, Lena Anderson (Illustrator)",Hardcover,52,R,1987,4.1499999999999995,3097,1456,929,506,123,83,1
"A Story, a Story",Gail E. Haley,Paperback,36,Aladdin,1988,3.9899999999999998,3096,1212,925,728,167,64,0
Crazy Hair,"Neil Gaiman (Author), Dave McKean (Illustrator)",Hardcover,40,HarperCollins,2009,3.97,3088,1045,1125,721,167,30,0
Anatole,"Eve Titus, Paul Galdone (Illustrator)",Hardcover,40,Knopf Books for Young Readers,2006,4.2,3088,1429,1010,518,91,40,1
Wombat Stew,"Marcia K. Vaughan, Pamela Lofts (Illustrator)",Hardcover,32,Silver Burdett,1986,4.21,3087,1515,908,503,112,49,1
The Way Back Home,Oliver Jeffers (Author),Paperback,32,HarperCollinsChildren,2017,4.13,3084,1228,1159,578,98,21,1
East O' the Sun and West O' the Moon,"Peter Christen Asbjørnsen, Jørgen Engebretsen Moe, Naomi Lewis (Introduction), George Webbe Dasent (Translator), P.J. Lynch (Illustrator)",Hardcover,44,Walker,1994,4.25,3083,1554,898,522,80,29,1
Nelson Mandela,Kadir Nelson,Hardcover,40,Katherine Tegen,2013,4.29,3079,1630,929,370,90,60,1
Chanticleer and the Fox,"Geoffrey Chaucer, Barbara Cooney (Illustrator, Adaptor)",Paperback,44,HarperCollins,1982,3.8099999999999996,3077,984,921,844,264,64,0
Trouble with Trolls,Jan Brett,Paperback,32,Puffin,1999,4.13,3075,1332,1007,584,112,40,1
How Do Dinosaurs Say I Love You?,"Jane Yolen (Author), Mark Teague (Illustrator)",Hardcover,40,The Blue Sky,2009,4.12,3074,1345,964,600,133,32,1
Creepy Pair of Underwear!,"Aaron Reynolds, Peter Brown (Illustrator)",Hardcover,48,Simon Schuster Books for Young Readers,2017,4.28,3071,1463,1129,377,72,30,1
Say Hello to Zorro!,Carter Goodrich,Hardcover,48,Simon Schuster Books for Young Readers,2011,4.09,3069,1210,1126,567,117,49,1
Llama Llama Time to Share,Anna Dewdney,Hardcover,40,Viking Books for Young Readers,2012,4.26,3065,1471,1033,475,63,23,1
Unspoken: A Story from the Underground Railroad,Henry Cole,Hardcover,40,Scholastic,2012,4.3,3056,1583,959,388,86,40,1
Emily of Deep Valley,"Maud Hart Lovelace, Vera Neville (Illustrator)",Paperback,304,HarperTrophy,2000,4.24,3055,1564,857,477,108,49,1
Diamond Willow,Helen Frost (Author),Hardcover,128,Farrar Straus and Giroux,2008,3.9699999999999998,3050,1129,1038,628,180,75,0
Big Nate: What Could Possibly Go Wrong?,Lincoln Peirce,Paperback,224,HarperCollins,2012,4.45,3046,1987,616,306,89,48,1
"Chi's Sweet Home, Volume 3","Kanata Konami, Ed Chavez (Translator)",Paperback,144,Vertical,2010,4.359999999999999,3042,1748,796,382,75,41,1
Tom Gates: (A tiny bit) Lucky,Liz Pichon,Hardcover,272,Scholastic,2014,4.48,3040,2072,576,249,73,70,1
Dog's Colorful Day: A Messy Story About Colors and Counting,Emma Dodd (Author),Hardcover,32,Dutton Juvenile,2001,4.18,3034,1417,940,525,112,40,1
Goodnight Goon: A Petrifying Parody,Michael Rex,Hardcover,32,GP Putnam,2008,4.06,3033,1258,960,605,158,52,1
Brave New Pond,"Jennifer L. Holm (Author), Matthew Holm",Paperback,96,Random House,2011,4.1499999999999995,3031,1573,685,526,162,85,1
The Man in the Moon,William Joyce (Author),Hardcover,56,Atheneum Books for Young Readers,2011,4.29,3024,1508,1007,405,79,25,1
The Stray Dog,Marc Simont,NA,32,NA,2001,4.02,3023,1211,908,710,151,43,1
Sophie's Squash,"Pat Zietlow Miller (Author), Anne Wilsdorf (Illustrator)",Hardcover,40,Schwartz,2013,4.26,3022,1435,1058,430,77,22,1
Baby Beluga,Raffi Cavoukian,Board Book,32,Knopf Books for Young Readers,1997,4.28,3021,1657,721,507,102,34,1
El Higo Mas Dulce = The Sweetest Fig,"Chris Van Allsburg, Francisco Segovia",Hardcover,30,Fondo de Cultura Economica USA,1995,4.18,3020,1388,993,493,100,46,1
The Sweetest Fig,Chris Van Allsburg,Hardcover,32,Houghton Mifflin Company,1993,4.19,3020,1389,993,493,99,46,1
Show Way,"Jacqueline Woodson (Author), Hudson Talbott (Illustrator)",Hardcover,48,GP Putnam,2005,4.23,3014,1527,917,380,116,74,1
Wave,Suzy Lee,Hardcover,40,Chronicle,2008,4.24,3013,1438,1007,461,81,26,1
The Hiccupotamus,Aaron Zenz,Hardcover,26,Dogs in Hats Children,2005,4.1,3013,1451,795,497,155,115,1
The Book of Dragons,"E. Nesbit, H.R. Millar (Illustrator), H. Granville Fell (Illustrator)",Paperback,176,Dover Publications,2004,3.88,3000,972,1021,753,188,66,0
Miss Brooks Loves Books!,"Barbara Bottner (Author), Michael Emberley (Author) (Illustrator)",Hardcover,32,Alfred A Knopf Books for Young Readers,2010,4.19,2999,1369,991,500,110,29,1
Stargazing Dog,"Takashi Murakami, 村上たかし",Paperback,128,NBM Publishing,2011,4.29,2993,1511,957,416,87,22,1
The Undefeated,"Kwame Alexander, Kadir Nelson (Illustrator)",Hardcover,40,Versify,2019,4.7,2988,2302,515,133,31,7,1
The Folk Keeper,Franny Billingsley,Paperback,176,Atheneum Books for Young Readers,2001,3.9299999999999997,2981,976,1086,704,160,55,0
Alma and How She Got Her Name,Juana Martinez-Neal (Author),Hardcover,32,Candlewick,2018,4.39,2980,1572,1066,300,30,12,1
Penguin Problems,"Jory John, Lane Smith (Illustrator)",Hardcover,32,Random House Books for Young Readers,2016,4.11,2979,1246,1060,487,129,57,1
I Have a Dream,"Martin Luther King Jr., Kadir Nelson (Illustrations)",Ebook,40,Schwartz,2012,4.46,2978,1892,706,278,71,31,1
"In the Tall, Tall Grass",Denise Fleming (Author),Hardcover,32,Henry Holt and Co,1991,4.05,2972,1154,956,722,126,14,1
